UID,organisationunitname,lga,ward,year,ANC1,ANCA,IPT1,IPT3,IPT1_per_ANC1,IPT3_per_ANC1,IPT3_per_IPT1,ANC1_per_Preg,IPT3_per_Preg,LLIN_per_Preg
25189199,NA,Odukpani,Ito-Idere-Ukwa,2022,54,83,42,5,0.7777777777777778,0.09259259259259259,0.11904761904761904,NA,NA,NA
82719532,NA,Biase,Umon South,2022,108,164,92,1,0.8518518518518519,0.009259259259259259,0.010869565217391304,NA,NA,NA
23500589,NA,Biase,Umon North,2022,13,33,12,0,0.9230769230769231,0,0,NA,NA,NA
25702812,NA,Biase,Umon North,2022,13,18,6,0,0.46153846153846156,0,0,NA,NA,NA
20019481,NA,Odukpani,Eki,2022,97,210,107,2,1.1030927835051547,0.020618556701030927,0.018691588785046728,NA,NA,NA
68022310,NA,Biase,Umon South,2022,32,54,14,0,0.4375,0,0,NA,NA,NA
19741247,NA,Biase,Umon South,2022,102,146,69,0,0.6764705882352942,0,0,NA,NA,NA
56130516,NA,Biase,Umon North,2022,66,176,54,29,0.8181818181818182,0.4393939393939394,0.5370370370370371,NA,NA,NA
40155280,NA,Biase,Umon North,2022,21,42,14,5,0.6666666666666666,0.23809523809523808,0.35714285714285715,NA,NA,NA
73924706,NA,Biase,Umon North,2022,11,20,11,0,1,0,0,NA,NA,NA
87651424,NA,Biase,Ehom,2022,41,64,25,3,0.6097560975609756,0.07317073170731707,0.12,NA,NA,NA
47978653,NA,Odukpani,Odot,2022,88,161,85,10,0.9659090909090909,0.11363636363636363,0.11764705882352941,NA,NA,NA
87188090,NA,Odukpani,Ito-Idere-Ukwa,2022,108,228,114,9,1.0555555555555556,0.08333333333333333,0.07894736842105263,NA,NA,NA
34298119,NA,Odukpani,Ito-Idere-Ukwa,2022,105,217,43,16,0.4095238095238095,0.1523809523809524,0.37209302325581395,NA,NA,NA
75575519,NA,Biase,Umon North,2022,22,36,25,2,1.1363636363636365,0.09090909090909091,0.08,NA,NA,NA
75423605,NA,Biase,Ehom,2022,79,194,74,25,0.9367088607594937,0.31645569620253167,0.33783783783783783,NA,NA,NA
25809035,NA,Biase,Biakpan,2022,67,132,51,15,0.7611940298507462,0.22388059701492538,0.29411764705882354,NA,NA,NA
70614904,NA,Biase,Umon North,2022,72,176,59,1,0.8194444444444444,0.013888888888888888,0.01694915254237288,NA,NA,NA
76106711,NA,Biase,Akpet Abini,2022,32,62,31,2,0.96875,0.0625,0.06451612903225806,NA,NA,NA
14895554,NA,Biase,Ehom,2022,0,0,0,0,NA,NA,NA,NA,NA,NA
22346783,NA,Biase,Umon North,2022,22,44,17,1,0.7727272727272727,0.045454545454545456,0.058823529411764705,NA,NA,NA
45874194,NA,Biase,Umon North,2022,0,1,0,0,NA,NA,NA,NA,NA,NA
73054079,NA,Biase,Akpet Abini,2022,69,184,39,17,0.5652173913043478,0.2463768115942029,0.4358974358974359,NA,NA,NA
42564894,NA,Biase,Akpet Abini,2022,12,63,15,6,1.25,0.5,0.4,NA,NA,NA
38871669,NA,Biase,Akpet Abini,2022,124,158,19,1,0.1532258064516129,0.008064516129032258,0.05263157894736842,NA,NA,NA
19620781,NA,Yakurr,Mkpani/Agoi,2022,78,293,75,70,0.9615384615384616,0.8974358974358975,0.9333333333333333,NA,NA,NA
54515161,NA,Biase,Abayong,2022,39,71,40,8,1.0256410256410255,0.20512820512820512,0.2,NA,NA,NA
70926088,NA,Biase,Erie North,2022,56,61,42,0,0.75,0,0,NA,NA,NA
42478165,NA,Biase,Erie South,2022,34,54,21,0,0.6176470588235294,0,0,NA,NA,NA
35723991,NA,Biase,Erie North,2022,50,106,27,28,0.54,0.56,1.037037037037037,NA,NA,NA
23960613,NA,Biase,Abayong,2022,36,76,25,15,0.6944444444444444,0.4166666666666667,0.6,NA,NA,NA
41537582,NA,Biase,Erie North,2022,48,67,25,2,0.5208333333333334,0.041666666666666664,0.08,NA,NA,NA
74911660,NA,Abi,Ebom/Ebijakara,2022,221,835,204,173,0.9230769230769231,0.7828054298642534,0.8480392156862745,NA,NA,NA
19184729,NA,Abi,Ebom/Ebijakara,2022,28,111,32,27,1.1428571428571428,0.9642857142857143,0.84375,NA,NA,NA
12901731,NA,Abi,Afafanyi/Igonigoni,2022,130,314,107,42,0.823076923076923,0.3230769230769231,0.3925233644859813,NA,NA,NA
